CAGE,ID,PROJECT,SEX,EGLN2,MMTV-PYVT,C3TAG,DOB,FATHER,MOTHER,SAC_DATE,AGE,COMMENT,,,,,,,,,,,,,,
2431038,156,PyVT,F,+/-,o/-,o/-,01/07/16,515,516,04/28/16,16,,,,,,,,,,,,,,,
2431033,141,PyVT,F,+/+,o/-,o/-,01/04/16,273,517;518,04/28/16,16,,,,,,,,,,,,,,,
2431032,038,C3TAG-EGLN2,M,(+/-),,(o/-),12/22/15,sibling,22;23,04/28/16,18,,,,,,,,,,,,,,,
2431032,039,C3TAG-EGLN2,M,(-/-),,(o/-),12/22/15,sibling,22;23,04/28/16,18,,,,,,,,,,,,,,,
2431031,045,C3TAG-EGLN2,M,(+/+),,(o/-),12/25/15,sibling,22;23,04/28/16,18,,,,,,,,,,,,,,,
2358704,003,C3TAG-EGLN2,M,+/-,,o/-,10/14/15,256,651,04/28/16,28,,,,,,,,,,,,,,,
???,001,C3TAG-EGLN2,F,+/+,,o/-,11/15/15,sibling,637,04/28/16,24,,,,,,,,,,,,,,,
???,012,C3TAG-EGLN2,F,+/-,,o/-,11/16/15,509,298,04/28/16,23,,,,,,,,,,,,,,,
???,149,C3TAG-EGLN2,F,+/+,,o/-,01/06/16,515,514,04/28/16,16,,,,,,,,,,,,,,,
???,150,C3TAG-EGLN2,F,+/-,,o/-,01/06/16,515,514,04/28/16,16,,,,,,,,,,,,,,,
2431007,032,C3TAG-EGLN2,F,(+/-),,(o/-),11/05/15,591,587;590,05/06/16,26,,,,,,,,,,,,,,,
2431030,035,C3TAG-EGLN2,F,(+/+),,(o/-),12/25/15,sibling,22;23,05/10/16,20,,,,,,,,,,,,,,,
2431041,007,PyVT,M,-/-,o/-,-/-,10/12/15,273,517;518,05/11/16,30,,,,,,,,,,,,,,,
2431041,095,C3TAG-EGLN2,M,+/+,-/-,o/-,08/05/15,273,565;562,05/11/16,40,,,,,,,,,,,,,,,
2431033,142,PyVT,F,+/+,o/-,,01/04/16,273,517;518,05/13/16,19,,,,,,,,,,,,,,,
